Date,Weekly U.S. No 2 Diesel Retail Prices  (Dollars per Gallon),Weekly East Coast No 2 Diesel Retail Prices  (Dollars per Gallon),Weekly New England (PADD 1A) No 2 Diesel Retail Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) No 2 Diesel Retail Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) No 2 Diesel Retail Prices  (Dollars per Gallon),Weekly Midwest No 2 Diesel Retail Prices  (Dollars per Gallon),Weekly Gulf Coast No 2 Diesel Retail Prices  (Dollars per Gallon),Weekly Rocky Mountain No 2 Diesel Retail Prices  (Dollars per Gallon),Weekly West Coast No 2 Diesel Retail Prices  (Dollars per Gallon),Weekly California No 2 Diesel Retail Prices  (Dollars per Gallon),Weekly West Coast (PADD 5) Except California No 2 Diesel Retail Prices  (Dollars per Gallon)
"Mar 21, 1994",1.106,1.119,,,,1.087,1.065,1.105,1.209,,
"Mar 28, 1994",1.107,1.115,,,,1.089,1.064,1.1,1.22,,
"Apr 04, 1994",1.109,1.122,,,,1.087,1.069,1.103,1.219,,
"Apr 11, 1994",1.108,1.119,,,,1.09,1.066,1.111,1.209,,
"Apr 18, 1994",1.105,1.115,,,,1.086,1.058,1.118,1.213,,
"Apr 25, 1994",1.106,1.116,,,,1.085,1.062,1.113,1.217,,
"May 02, 1994",1.104,1.113,,,,1.085,1.06,1.125,1.206,,
"May 09, 1994",1.101,1.112,,,,1.08,1.055,1.12,1.206,,
"May 16, 1994",1.099,1.109,,,,1.08,1.054,1.121,1.2,,
"May 23, 1994",1.099,1.108,,,,1.081,1.05,1.121,1.203,,
"May 30, 1994",1.098,1.106,,,,1.082,1.05,1.129,1.194,,
"Jun 06, 1994",1.101,1.109,,,,1.083,1.056,1.121,1.202,,
"Jun 13, 1994",1.098,1.106,,,,1.081,1.058,1.116,1.191,,
"Jun 20, 1994",1.103,1.112,,,,1.086,1.061,1.117,1.199,,
"Jun 27, 1994",1.108,1.114,,,,1.092,1.073,1.122,1.196,,
"Jul 04, 1994",1.109,1.117,,,,1.094,1.074,1.118,1.193,,
"Jul 11, 1994",1.11,1.117,,,,1.094,1.078,1.121,1.196,,
"Jul 18, 1994",1.111,1.117,,,,1.094,1.078,1.123,1.2,,
"Jul 25, 1994",1.111,1.118,,,,1.094,1.078,1.122,1.2,,
"Aug 01, 1994",1.116,1.12,,,,1.102,1.082,1.129,1.2,,
"Aug 08, 1994",1.127,1.127,,,,1.116,1.098,1.137,1.205,,
"Aug 15, 1994",1.127,1.127,,,,1.116,1.099,1.134,1.206,,
"Aug 22, 1994",1.124,1.125,,,,1.109,1.094,1.146,1.209,,
"Aug 29, 1994",1.122,1.12,,,,1.108,1.088,1.168,1.204,,
"Sep 05, 1994",1.126,1.122,,,,1.107,1.088,1.194,1.224,,
"Sep 12, 1994",1.128,1.117,,,,1.107,1.097,1.201,1.233,,
"Sep 19, 1994",1.126,1.117,,,,1.103,1.088,1.203,1.242,,
"Sep 26, 1994",1.12,1.113,,,,1.092,1.084,1.201,1.249,,
"Oct 03, 1994",1.118,1.112,,,,1.089,1.08,1.194,1.249,,
"Oct 10, 1994",1.117,1.111,,,,1.091,1.074,1.195,1.247,,
"Oct 17, 1994",1.119,1.112,,,,1.091,1.077,1.197,1.252,,
"Oct 24, 1994",1.122,1.116,,,,1.094,1.081,1.203,1.257,,
"Oct 31, 1994",1.133,1.126,,,,1.107,1.093,1.206,1.264,,
"Nov 07, 1994",1.133,1.126,,,,1.104,1.095,1.204,1.267,,
"Nov 14, 1994",1.135,1.128,,,,1.107,1.095,1.207,1.268,,
"Nov 21, 1994",1.13,1.128,,,,1.099,1.091,1.2,1.267,,
"Nov 28, 1994",1.126,1.124,,,,1.095,1.086,1.188,1.262,,
"Dec 05, 1994",1.123,1.124,,,,1.095,1.082,1.169,1.257,,
"Dec 12, 1994",1.114,1.117,,,,1.085,1.076,1.155,1.245,,
"Dec 19, 1994",1.109,1.114,,,,1.082,1.071,1.148,1.231,,
"Dec 26, 1994",1.106,1.113,,,,1.084,1.065,1.135,1.217,,
"Jan 02, 1995",1.104,1.115,,,,1.081,1.063,1.125,1.212,,
"Jan 09, 1995",1.102,1.112,,,,1.078,1.065,1.122,1.205,,
"Jan 16, 1995",1.1,1.114,,,,1.077,1.06,1.113,1.2,,
"Jan 23, 1995",1.095,1.112,,,,1.069,1.056,1.109,1.196,,
"Jan 30, 1995",1.09,1.11,,,,1.065,1.051,1.095,1.192,,
"Feb 06, 1995",1.086,1.101,,,,1.062,1.05,1.089,1.191,,
"Feb 13, 1995",1.088,1.103,,,,1.065,1.05,1.091,1.19,,
"Feb 20, 1995",1.088,1.102,,,,1.065,1.05,1.094,1.19,,
"Feb 27, 1995",1.089,1.101,,,,1.069,1.05,1.096,1.188,,
"Mar 06, 1995",1.089,1.097,,,,1.067,1.051,1.111,1.197,,
"Mar 13, 1995",1.088,1.094,,,,1.069,1.046,1.107,1.197,,
"Mar 20, 1995",1.085,1.088,,,,1.065,1.043,1.106,1.201,,
"Mar 27, 1995",1.088,1.094,,,,1.069,1.042,1.108,1.202,,
"Apr 03, 1995",1.094,1.09,,,,1.076,1.053,1.113,1.215,,
"Apr 10, 1995",1.101,1.095,,,,1.083,1.063,1.117,1.225,,
"Apr 17, 1995",1.106,1.099,,,,1.085,1.07,1.128,1.237,,
"Apr 24, 1995",1.115,1.107,,,,1.093,1.078,1.138,1.247,,
"May 01, 1995",1.119,1.113,,,,1.094,1.08,1.143,1.259,,
"May 08, 1995",1.126,1.12,,,,1.103,1.087,1.156,1.26,,
"May 15, 1995",1.126,1.123,,,,1.1,1.086,1.158,1.262,,
